Exhibitor,Country,Stand Number,Website,Logo,Products
ASPIDA TRAVEL,Greece,1.529,http://WWW.ASPIDATRAVEL.GR,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=61359,Travel Services
ASRY (ARAB SHIPBUILDING & REPAIR YARD),Bahrain,2.119,,,"Consultancy Services, Design & Innovation, Offshore Services, Repair Services, Shipbuilding, Repair Yards"
ASSOCIATION OF SINGAPORE MARINE INDUSTRIES,Singapore,"2.401,2.401/C",http://www.asmi.com,,"Associations, Organisations"
ASSOCIATION OF THESSALY AND CENTRAL GREECE INDUSTRIES,Greece,4.227,,,"Associations, Organisations"
ASTICAN SHIPYARD,Spain,4.309,http://www.astican.es,,"Shipbuilding, Repair Yards"
ASTILLEROS BENDER S.DE RL DE C.V SHIPYARD,Mexico,1.317,,,"Repair Services, Shipbuilding, Repair Yards"
"ASTILLEROS DE SANTANDER S.A.U (""ASTANDER"")",Spain,4.309,http://www.astander.es,,"Shipbuilding, Repair Yards"
ASTILLEROS RIA DE AVILES,Spain,1.317,,,"Repair Services, Shipbuilding, Repair Yards"
ASYS CONTROL & AUTOMATION,Canada,2.425/9,,,"Automation, Electrical, Electronics"
ATHANASIOS KOPOUKIS STAD S.A.,Greece,1.443,,,Design & Innovation
ATHENS CHAMBER OF SMALL & MEDIUM INDUSTRIES - ACSMI,Greece,2.561,,,Government Organisations / Institutions
ATHENS HYDRODYNAMIC SA,Greece,3.163,http://www.athenshydrodynamic.gr,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=62906,"Automation, Hydraulics, Pumps, Valves, Repair Services"
ATLANTIC WELDING IMPORT&EXPORT CO.LTD,China,4.325/A,http://www.weldatlantic.com,,Ship Spare Parts
ATLANTIS DIVE WORKS,Brazil,2.419,,,"In/Under-Water Repairs & Services, Propellers, Underwater Technology"
ATLANTIS MARINE SERVICES LLC,United Arab Emirates,1.325,http://www.amssub.com,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=60193,"In/Under-Water Repairs & Services, Underwater Technology"
ATLAS COPCO,Denmark,3.411/H,,,
ATLAS MARINE VALVES & EQUIPMENTS TRADING CO. LTD.,Turkey,4.226,,,"Pumps, Valves"
ATLAS MARINE VALVES SINGAPORE PTE. LTD.,Singapore,4.226,,,"Pumps, Valves"
ATLAS OFFSHORE OPERATIONS LTD,Cyprus,2.111/Q,,,"Logistics, Port Agencies, Services, Ship Agents, Ship Spare Parts, Ship Suppliers"
ATLAS SEA GROUP,Turkey,4.226,http://atlasseagroup.com/,,"Pumps, Valves, Shipchandlers, Ship Suppliers"
"ATLAS SHIP SUPPLY CO, INC",Turkey,4.226,,,"Shipchandlers, Ship Suppliers"
ATPI GRIFFINSTONE,United Kingdom,1.101,http://www.atpi.com,,"Services Providers, Travel Services"
AURAMARINE OY,Finland,4.116,,,Engineroom Equipment
AUTRONICA FIRE AND SECURITY AS,Norway,3.315,http://www.autronicafire.com,,"Automation, Cargo Handling, Deck Equipment, Dredging Equipment, Engineroom Equipment, Firefighting Equipment, LNG Technology, Monitoring Equipment, Safety Equipment, Services"
AVENTICS,Germany,3.132,,,Other
"AVIC INTERNATIONAL (TAIZHOU CATIC SHIPBUILDING, WEIHAI SHIPYARD ETC)",China,4.213,,,"Shipbuilding, Repair Yards"
AVIC WEIHAI SHIPYARD,China,4.213,,,"Shipbuilding, Repair Yards"
AVL LIST GMBH,Austria,3.550,http://www.avl.com,,"Automation, Clean Energy Solutions & Equipment, Consultancy Services, Design & Innovation, Electrical, Electronics, Energy Efficiency, Engineroom Equipment, Environmental Technologies, LNG Technology, Monitoring Equipment, Retrofitting, Services Providers"
AVS GLOBAL SHIP SUPPLY,Turkey,2.550,http://www.avsglobalsupply.com,,"Computer Applications, Big Data, IT Services, Logistics, Management Systems, Satellite Communications, Shipchandlers, Shipmanagement, Ship Suppliers"
AXA GLOBAL HEALTHCARE - CERESOLE INSURANCE,Greece,1.143,,,"Insurance, P&I"
AXELTEAM PC,Greece,2.344,http://www.axelteam.com,,"Other, Sanitation Equipment, Tank Cleaning Systems"
AZCUE PUMPS SA,Spain,3.121,,,"Engineroom Equipment, Pumps, Valves"
AZERBAIJAN CASPIAN SHIPPING COMPANY (ACSC) CJSC,Azerbaijan,1.105,http://www.acsc.az,,"Consultancy Services, Maritime Education, Maritime Training Programmes, Repair Services, Shipbuilding, Repair Yards, Shipmanagement"
AZIENDA CHIMICA GENOVESE S.R.L.,Italy,4.219,http://www.acgmarine.com,,Corrosion Protection
AZIMOUTHIO YACHTING INFO,Greece,1.235,http://www.yachting-info.com,,"Publications, Media"
A. ZISIMOPOULOS S.A.,Greece,3.428,http://www.zisimopoulos-sa.gr,,"Blasting Equipment, Clean Energy Solutions & Equipment, Coatings, Paints, Pumps, Valves, Repair Services, Safety Equipment, Services"
AZUMA ENGINEERING (S) PTE LTD,Singapore,4.101/A,http://www.azuma-engineering.com,,Repair Services
B2B MEDYA,Turkey,2.000,,,"Publications, Media"
BACHMANN ELECTRONIC GMBH,Austria,1.241,http://www.bachmann.info,,"Automation, Electrical, Electronics, Energy Efficiency, Monitoring Equipment"
BADA HEAVY INDUSTRIES,"Korea, Republic of",3.116,,,"Safety Equipment, Services"
BALDWIN FILTERS,USA,2.226,,,Filtration
BALTEC MARINE,Poland,2.158,,,Retrofitting
BALT YARD SHIPYARD,Poland,2.158,,,"Shipbuilding, Repair Yards"
BALUCO S.A.,Panama,3.217,http://www.baluco.com,,"Bunkers, Lubricants, Consultancy Services"
BAUER KOMPRESSOREN,Germany,3.250,,,"Compressor Suppliers, Deck Equipment, Firefighting Equipment, Other, Safety Equipment, Services, Services Providers, Underwater Technology, Yachting, Brokers, Services"
BAYDELTA MARITIME,USA,3.426,,,"Towage, Salvage"
BCA COLLEGE,Greece,4.322,http://www.bca.edu.gr,,"Maritime Education, Maritime Training Programmes, Training Services"
BCS,Italy,3.116,,,Engineroom Equipment
BCSERVICE,USA,3.456,,,"Safety Equipment, Services"
BD SENSORS,Greece,1.419,,,Automation
BECKER MARINE SYSTEMS GMBH,Germany,3.258,,,"Energy Efficiency, Propulsion Systems, Steering Gear, Equipment"
BECKER VACUUM PUMPS,Germany,2.322,,,"Compressor Suppliers, Pumps, Valves, Sewage Treatment"
BEECLIMA LTD.,Cyprus,3.164/1,http://www.beeclima.com,,"Airconditioning, Ventilation, Compressor Suppliers, Offshore Services, Refrigeration Systems, Repair Services, Retrofitting, Ship Suppliers"
BEESWIFT,United Kingdom,3.356,http://www.beeswift.com,,"Safety Equipment, Services"
BEGHELLI,Italy,1.419,,,"Electrical, Electronics"
BELLOWS HELLAS,Greece,3.325,,,"Engineroom Equipment, Inert Gas Systems, Ship Spare Parts"
BENEFIT SOFTWARE MIKE,Greece,4.318,http://www.benefit.gr/,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=39702,"Computer Applications, Big Data, IT Services"
BEN LINE AGENCIES,China,3.426,,,"Port Agencies, Services"
BERMAD CS LTD.,Israel,4.116,,,"Firefighting Equipment, Pumps, Valves"
BERNHARD SCHULTE SHIPMANAGEMENT,Greece,2.111/F,,,Shipmanagement
BERNHARD SCHULTE SHIPMANAGEMENT,Cyprus,2.111/F,http://www.bs-shipmanagement.com,,"Crewing Services, Maritime Training Programmes, Offshore Services, Services Providers, Shipbuilding, Repair Yards, Shipmanagement, Training Services"
BESIKTAS SHIPYARD,Turkey,"2.115,1.317",http://www.besiktasshipyard.com,,"Repair Services, Shipbuilding, Repair Yards"
BESI MARINE SYSTEMS GMBH,Germany,3.258,,,"Pumps, Valves"
BESTOBELL LNG VALVES,United Kingdom,2.417,,,Cryogenic Equipment
BEST PROPULSION,"Netherlands, The",3.116,,,Propulsion Systems
B-HEPWORTH - WYNN,United Kingdom,3.116,,,Deck Equipment
BIDA SHIPPING SERVICES CO. LTD.,China,1.317,,,"Ship Agents, Shipbrokers"
BIEHL & CO,USA,3.426,,,"Port Agencies, Services"
BIJUR DELIMON,Germany,2.454,,,"Automation, Bunkers, Lubricants"
BILFINGER ENGINEERING & TECHNOLOGIES GMBH,Germany,4.309,http://www.bet.bilfinger.com,,"Air Emissions Control, Clean Energy Solutions & Equipment, Environmental Technologies, Exhaust Gas Cleaning Solutions, Other, Pollution Control"
BITZER,Germany,3.144,,,"Airconditioning, Ventilation, Refrigeration Systems"
BJB,Germany,1.419,,,"Electrical, Electronics"
BLAY MARINE TECH (BMT),Spain,1.115,,,Offshore Services
BLRT GRUPP AS,Estonia,1.102,http://www.blrt.ee,,"Ballast Water Management, Design & Innovation, Port Agencies, Services, Ports, Port Authorities, Repair Services, Retrofitting, Safety Equipment, Services, Shipbuilding, Repair Yards"
BLRT GRUPP WESTERN SHIPYARD,Lithuania,1.317,,,"Repair Services, Shipbuilding, Repair Yards"
BLšCHER METAL A/S,Denmark,4.211,http://www.blucher.com/com/bluecher/,,"Deck Equipment, Pipes, Fittings, Sanitation Equipment, Ship Spare Parts"
BLUE DYNAMICS,Cyprus,2.111/G,,,Other
BLUE OCEAN SOLUTIONS (KEPPEL O.&M. GROUP),Singapore,4.309,,,"Clean Energy Solutions & Equipment, Energy Efficiency, Engineroom Equipment"
BMT SMART,United Kingdom,3.315,http://www.bmtsmart.com,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=61575,"Energy Efficiency, Management Systems, Monitoring Equipment"
BOERGER GMBH,Germany,4.230,,,"Pumps, Valves"
BOHAMET,Poland,2.417,,,Accommodation Systems/Materials
BOILERMAN SERVICE INTERNATION LTD,China,"2.237/A,4.309",http://www.boilerman-service.com,,"Automation, Ballast Water Management, Bearings, Boilers, Burners, Services Providers"
BOLIDT SYNTHETIC PRODUCTS & SYSTEMS,"Netherlands, The",3.315,http://www.bolidt.com,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=61569,"Accommodation Systems/Materials, Corrosion Protection, Deck Equipment, Ship Outfitters"
BOLL UND KIRCH - BOLLFILTER,Germany,1.108,,,Filtration
BORNEMANN PUMPS GMBH,Germany,2.334,,,"Pumps, Valves"
BOSCH REXROTH,Germany,"3.425,3.132",,,"Automation, Electrical, Electronics, Other"
BOSUNG ENGINEERING CO LTD,"Korea, Republic of",3.132,http://www.bosung.com,,"Accommodation Systems/Materials, Airconditioning, Ventilation, Ballast Water Management, Bearings, Boilers, Deck Equipment, Engineroom Equipment, Monitoring Equipment, Pumps, Valves, Refrigeration Systems, Retrofitting, Safety Equipment, Services, Sanitation Equipment, Satellite Communications, Seals & Packings, Separators, Sewage Treatment, Shipbuilding, Repair Yards, Ship Spare Parts, Steering Gear, Equipment"
BOTA TECHNIK,Poland,2.158,,,Propulsion Systems
BPCO LTD,Greece,2.419,http://www.bpco-group.com,,"Ballast Water Management, Electrical, Electronics, Energy Efficiency, In/Under-Water Repairs & Services, Repair Services, Shipbrokers, Shipbuilding, Repair Yards, Ship Spare Parts"
BPM ONLINE,Belgium,2.217,,,"Safety Equipment, Services"
BRAMIDAN A/S,Denmark,3.152,,,Pollution Control
BRANNSTROM,Sweden,3.425,,,Pollution Control
BRAZILIAN SHIP SUPPLIERS ASSOCIATION - ABFN,Brazil,2.549,http://www.brazilianshipsuppliers.org.br,,"Associations, Organisations"
BREAKWATER INTERNATIONAL LLC,USA,4.309,http://www.bkwint.com,,"Deck Equipment, Firefighting Equipment, Gases, Refrigerants, Repair Services, Safety Equipment, Services, Services Providers, Ship Spare Parts"
BREMSKERL ASBESTOS FREE BRAKE LININGS,Germany,3.215,,,Other
BRIGHT STAR,USA,2.525,,,Deck Equipment
BRIGHT SUPPLIES,Togo,2.217,,,Ship Suppliers
BRUNSWICK COMERCIAL & GOVERNMENT PRODUCTS,USA,1.552,,,Other
BRUNVOLL AS,Norway,3.105,http://www.brunvoll.no/,,"Propellers, Propulsion Systems, Steering Gear, Equipment"
BRUNVOLL VOLDA AS,Norway,3.105,,,
BULK TERMINALS INTERNATIONAL,United Kingdom,2.000,,,"Publications, Media"
BULYARD SHIPBUILDING INDUSTRY AD,Bulgaria,1.104,http://www.bulyard.com,,"Shipbuilding, Repair Yards"
BULYARD SHIPYARD,Bulgaria,2.158,,,"Shipbuilding, Repair Yards"
BUNKERSPOT,United Kingdom,2.000,,,"Publications, Media"
BUREAU VERITAS,France,2.201,http://www.bureauveritas.com,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=3207,Classification Societies
BURGMANN PACKINGS GMBH,Germany,2.139,,,Seals & Packings
BURKERT,Germany,2.560,,,Automation
CALGAZ LTD,United Kingdom,4.219,http://www.calgaz.com,,"Gases, Refrigerants"
CAMEROON SHIPYARD & ENGINEERING,Cameroon,1.317,,,"Repair Services, Shipbuilding, Repair Yards"
