Exhibitor,Country,Stand Number,Website,Logo,Products
"SCLASHING SHANGHAI CO, LTD",China,2.321,,,Cargo Handling
SCSC SHIPPING INDUSTRY CO. LTD. / ZESCO SHIPYARD,China,"4.213,4.222",,,"Shipbuilding, Repair Yards"
SD LEADER LTD,Greece,1.439,http://www.sdl.gr,,"Airconditioning, Ventilation, Automation, Cables, Computer Applications, Big Data, IT Services, Deck Equipment, Design & Innovation, Electrical, Electronics, Energy Efficiency, Engineroom Equipment, Generating Sets, Monitoring Equipment, Retrofitting, Ship Suppliers"
SEABRIGHT - A.MALLIOS,Greece,3.131/12,http://www.seabright.gr,,"Cables, Electrical, Electronics, Energy Efficiency, Ship Suppliers"
SEACON SHIPS MANAGEMENT,China,2.469,http://www.seaconstar.com,,"Crewing Services, Port Agencies, Services, Repair Services, Shipbrokers, Shipbuilding, Repair Yards, Shipmanagement, Shipping Companies"
SEADOCK MARINE AGENCIES LTD,United Kingdom,3.456,http://seadockmarine.com,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=62838,"Automation, Blasting Equipment, Boilers, Cables, Cyber Protection Systems, Exhaust Gas Cleaning Solutions, In/Under-Water Repairs & Services, LNG Technology, Maritime Training Programmes, Mooring Equipment & Ropes, Pipes, Fittings, Pumps, Valves, Repair Services, Retrofitting, Safety Equipment, Services, Shipbuilding, Repair Yards, Ship Spare Parts"
SEA ENERGY GROUP,Panama,2.114,http://www.seaenergycompany.com/en/,,"Ship Agents, Ship Suppliers"
SEA FRONT SA,Greece,2.261,http://www.sea-front.gr,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=63559,"Bearings, Cables, Design & Innovation, Filtration, Hydraulics, Offshore Services, Pipes, Fittings, Pleasure Craft, Propellers, Propulsion Systems, Pumps, Valves, Seals & Packings, Separators, Services Providers, Ship Spare Parts, Stabilisers, Steering Gear, Equipment, Yachting, Brokers, Services"
SEAGO MARINE ENGINEERING & SERVICES LIMITED,China,3.343/1,http://www.seagomarine.com,,"Boilers, Offshore Services, Repair Services, Safety Equipment, Services, Shipbrokers, Ship Spare Parts, Ship Suppliers, Underwater Technology"
SEAGULL MARITIME,Greece,1.530,,,Maritime Training Programmes
"SEALMASTER ROLLING BEARINGS PILLOW BLOCKS, ROD ENDS",USA,3.215,,,Bearings
SEA MARKET PANAMA,Panama,2.114,http://seamarketpty.com,,Shipchandlers
SEAMARK MARINE  INC,Greece,3.419,http://www.seamark.gr,,"Cargo Handling, Container Services, Deck Equipment, LNG Technology, Marine Fenders & Hoses, Monitoring Equipment, Mooring Equipment & Ropes, Navigation Aids, Offshore Systems & Applications, Pipes, Fittings, Port Equipment, Retrofitting, Shipbrokers"
SEAMARK MARINE (NL) BV,"Netherlands, The",3.419,,,"Finance, Banking Services, Marine Fenders & Hoses, Port Equipment, Shipbrokers"
SEAMETRIX SOFTWARE,Greece,2.343,https://seametrix.net,,"Computer Applications, Big Data, IT Services"
"SEANET CO., LTD","Korea, Republic of",3.403/1,http://www.sea-net.co.kr,,Communication Aids
SEANEWS TURKEY MAGAZINE,Turkey,2.000,,,"Publications, Media"
SEAPAL LTD,Greece,3.325,,,"Crewing Services, Repair Services"
SEA POWER LTD,Greece,3.531,http://www.seapowerhellas.gr,,"Ballast Water Management, Boilers, Burners, Cargo Handling, Compressor Suppliers, Deck Equipment, Energy Efficiency, Engineroom Equipment, Environmental Technologies, Exhaust Gas Cleaning Solutions, Firefighting Equipment, Generating Sets, Hydraulics, Propellers, Propulsion Systems, Refrigeration Systems, Repair Services, Retrofitting, Seals & Packings, Separators, Sewage Treatment, Ship Spare Parts, Steering Gear, Equipment, Water Saving & Treatment Systems"
SEASCAPE S.A,Greece,2.401/D,,,Services Providers
SEATRADE UBM EMEA,United Kingdom,3.104/1,http://www.seatrademaritimeevents.com,,"Other, Publications, Media"
SEAWALK AS,Norway,2.542,http://seawalk.no,,"Port Equipment, Ports, Port Authorities"
SEC SHIPS EQUIPMENT CENTRE BREMEN GMBH & CO. KG.,Germany,3.419,http://www.sec-bremen.de,,"Cargo Handling, Cargo Systems, Container Services, Deck Equipment"
SEDAS OY,Finland,"2.163,2.163",http://www.unicont.com,,"Airconditioning, Ventilation, Automation, Engineroom Equipment, Navigation Aids, Propulsion Systems"
SEFINE SHIPYARD (SEFINE DENIZCILIK TERSANECILIK TURIZM SAN. VE TIC. A.S.),Turkey,"1.203,1.317,4.213,3.424",http://www.sefine.com.tr,,"Other, Repair Services, Shipbuilding, Repair Yards"
SEIM SRL,Italy,2.242,,,"Cargo Handling, Pumps, Valves"
SEJIN HEAVY INDUSTRIES,"Korea, Republic of",3.161,,,
SEJIN VALVE IND. CO. LTD.,"Korea, Republic of",1.521,http://www.sjvalve.co.kr,,"Pumps, Valves"
SEKIGAHARA SEISAKUSHO,Japan,3.116,,,"Safety Equipment, Services"
SELCO LITTELFUSE,Denmark,3.425,,,"Electrical, Electronics"
SELECTRON SA,Greece,3.425,,,Automation
SELMA (SHIP ELECTRIC MARINE CONTROL),Greece,3.131/1,http://www.selmacontrol.com,,"Automation, Electrical, Electronics, Energy Efficiency, Monitoring Equipment"
SEMAC AUTOMATION SA,Greece,2.560,http://www.semac.gr,,"Air Emissions Control, Automation, Ballast Water Management, Communication Aids, Cryogenic Equipment, Deck Equipment, Desalination Equipment, Dredging Equipment, Energy Efficiency, Engineroom Equipment, Environmental Technologies, Inert Gas Systems, LNG Technology, Monitoring Equipment, Retrofitting, Safety Equipment, Services, Ship Spare Parts, Ship Suppliers, Water Saving & Treatment Systems"
SEMBAWANG SHIPYARD PTE LTD,Singapore,3.424,,,"Shipbuilding, Repair Yards"
SEMBCORP MARINE LTD,Singapore,"2.401/G,3.424",http://www.sembmarine.com,,"Ballast Water Management, Clean Energy Solutions & Equipment, Design & Innovation, Offshore Services, Repair Services, Retrofitting, Shipbuilding, Repair Yards"
SEMB-ECO,Singapore,3.424,,,Ballast Water Management
SENDA SHIPPING ENGINEERING & SERVICE LTD,China,1.520,http://www.sendaltd.com,,"Deck Equipment, Electrical, Electronics, Engineroom Equipment, Pumps, Valves, Repair Services, Ship Spare Parts"
SEPFLUTECH GMBH,Germany,1.526,,,Filtration
SERVOMEX,United Kingdom,3.425,,,Air Emissions Control
SES MARINE SERVICES,Singapore,3.424,,,Repair Services
SES YACHTS,Turkey,1.409/C,http://www.sesyachts.com,,"Yachting, Brokers, Services"
SETEL HELLAS SA,Greece,1.120,http://www.setel-group.com,,"Automation, Computer Applications, Big Data, IT Services, Cyber Protection Systems, Energy Efficiency, Monitoring Equipment, Other, Satellite Communications"
SEVEN SEAS,United Arab Emirates,1.423,http://www.sevenseasgroup.com,,Shipchandlers
SGF SšDDEUTSCHE GELENKSCHEIBENFABRIK,Germany,3.355,,,"Propulsion Systems, Steering Gear, Equipment"
SGL ENGINEERING LTD ? NASDIS,Greece,1.443,,,Design & Innovation
SGS GROUP MANAGEMENT SA,Switzerland,2.555,http://www.sgs.com|envi,,"Air Emissions Control, Ballast Water Management, Consultancy Services, Exhaust Gas Cleaning Solutions, Pollution Control, Services Providers"
SHANDONG PURE OCEAN TECHNOLOGY CO. LTD,China,1.317,,,Environmental Technologies
"SHANDONG ROPE TECHNOLOGY CO., LTD",China,2.237/C,http://www.ropenet.com,,"Anchors, Chains, Deck Equipment, Mooring Equipment & Ropes, Ship Spare Parts"
"SHANGHAI GOODWAY MARINE ENGINEERING CO., LTD.",China,1.317,,,Cargo Systems
SHANGHAIGUAN SHIPBUILDING INDUSTRY,China,"2.419,1.521",,,"Shipbuilding, Repair Yards"
"SHANGHAI HILONG SHINE NEW MATERIALS CO, LTD",China,1.415,http://coatings.hilonggroup.com,,"Coatings, Paints, Corrosion Protection"
"SHANGHAI JANUS GRAB CO., LTD",China,"4.323,4.323",http://www.janusgrab.com,,"Deck Equipment, Offshore Systems & Applications, Ship Spare Parts"
SHANHAIGUAN SHIPYARD SHIPREPAIR DIVISION,China,4.213,,,"Shipbuilding, Repair Yards"
SHENZHEN LIWANJIA INDUSTRIAL DEVELOPMENT,China,4.309,,,"Pollution Control, Services Providers, Tank Cleaning Systems"
"SHENZHEN MARINESAT NETWORK TECHNOLOGY CO, LTD",China,3.307,,,Satellite Communications
"SHIGI SHIPBUILDING CO., LTD",Japan,3.116,,,"Safety Equipment, Services"
"SHIMANAMI SHIPYARD CO., LTD.",Japan,4.202/A,,,"Shipbuilding, Repair Yards"
"SHIN KASADO DOCKYARD CO., LTD.",Japan,4.202/A,,,"Shipbuilding, Repair Yards"
SHINKO IND. LTD,Japan,4.101/L,http://www.shinkohir.co.jp,,"Pumps, Valves"
"SHIN KURUSHIMA DOCKYARD CO, LTD",Japan,4.202/I,http://www.skdy.co.jp/,,"Shipbuilding, Repair Yards"
"SHIN MYUNG TECH CO.,LTD","Korea, Republic of",3.132,,,Deck Equipment
"SHIN SHIN MACHINERY CO, LTD","Korea, Republic of",2.321,,,"Pumps, Valves"
SHIP2SHORE,Italy,2.000,,,"Publications, Media"
SHIPBUILDING INDUSTRY,"Netherlands, The",2.000,,,"Publications, Media"
SHIPCARE NV,Belgium,4.309,,,"In/Under-Water Repairs & Services, Repair Services"
SHIPINSIGHT,United Kingdom,2.000,,,"Publications, Media"
SHIPLUS MARINE & OFFSHORE ENGINEERING,China,2.419,,,"Automation, Electrical, Electronics, In/Under-Water Repairs & Services, Propellers, Repair Services, Underwater Technology"
SHIPMANAGEMENT INTERNATIONAL,United Kingdom,2.000,,,"Publications, Media"
SHIPMEDCARE LTD,Greece,3.325,,,Medical Services
SHIPMEDICAL LTD.,Greece,2.259,,,Medical Services
SHIP & OFFSHORE,Germany,2.000,,,"Publications, Media"
SHIPPARTS.COM,China,1.215/A,http://www.shipparts.com,,"Shipchandlers, Ship Spare Parts, Ship Suppliers"
SHIPPING AGENTS ASSOCIATION OF MAGNESIA PREFECTURE,Greece,4.227,,,Ship Agents
"SHIPPING, SWEDISH SHIPPING, NORWEGIAN SHIPPING AND EUROPEAN OFFSHORE AND MARITIME",Norway,2.000,,,"Publications, Media"
SHIPSERV,United Kingdom,1.150,http://www.shipserv.com,,"Computer Applications, Big Data, IT Services, Other"
SHIP SUPPLY,USA,3.254,http://www.shipsup.com,,"Deck Equipment, Port Agencies, Services, Services Providers, Ship Agents, Shipchandlers, Shipmanagement, Ship Spare Parts, Ship Suppliers"
SHIP SUPPLY BALTIMORE  MARYLAND,USA,3.254,,,"Shipchandlers, Ship Suppliers"
SHIP SUPPLY HOUSTON TEXAS,USA,3.254,,,"Chemicals, Deck Equipment, Shipchandlers, Ship Suppliers"
SHIP SUPPLY MOBILE ALABAMA,USA,3.254,,,"Shipchandlers, Ship Suppliers"
SHIP SUPPLY NEW ORLEANS LOUISIANA,USA,3.254,,,"Shipchandlers, Ship Suppliers"
SHIP SUPPLY NORTH EAST NEW JERSEY,USA,3.254,,,"Shipchandlers, Ship Suppliers"
SHIP SUPPLY SAVANNAH GEORGIA,USA,3.254,,,"Shipchandlers, Ship Suppliers"
SHIP SUPPLY WEST COAST LOS ANGELES,USA,3.254,,,"Shipchandlers, Ship Suppliers"
SHIP TECHNOLOGY GLOBAL,United Kingdom,2.000,,,"Publications, Media"
SHIP TECH SERVICES,USA,3.426,,,Tank Cleaning Systems
SHIPWRIGHT LLC,USA,2.425/6,http://www.shipwright.biz,,"Ballast Water Management, Computer Applications, Big Data, IT Services, Consultancy Services, Design & Innovation, Electrical, Electronics, Energy Efficiency, Exhaust Gas Cleaning Solutions, Management Systems, Port Agencies, Services, Safety Equipment, Services, Security, Ship & Ports, Yachting, Brokers, Services"
SICK GMBH,Austria,3.266,http://www.sick.at,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=63062,"Air Emissions Control, Environmental Technologies, Pollution Control, Repair Services"
SIDENOR SA,Greece,1.410,http://www.sidenor.gr,,Metals & Mining Industries
SIEMENS,Germany,1.419,,,Automation
SIEMENS SA,Greece,3.425,,,Automation
SIERRA LEONE MARITIME ADMINISTRATION,Sierra Leone,2.160,http://www.slmarad.com,,"Government Organisations / Institutions, Vessel Registration"
"SILLA METAL CO., LTD.","Korea, Republic of","4.109,4.108",,,Propellers
SIMEX,Poland,"2.460,2.560",,,Automation
SIMRAD - NAVICO GROUP,United Kingdom,1.305,,,"Communication Aids, Electrical, Electronics, Entertainment Systems, Navigation Aids, Safety Equipment, Services"
SIMS PUMP VALVE CO. INC,USA,2.425/14,http://www.SIMSITE.com,,"Bearings, Desalination Equipment, Engineroom Equipment, Pumps, Valves, Ship Spare Parts"
SINGAPORE MARITIME FOUNDATION,Singapore,2.401/C,http://www.smf.com.sg,,"Associations, Organisations, Government Organisations / Institutions, Maritime Education"
SINGAPORE SHIPPING ENTERPRISES PTE. LTD.,Singapore,2.357,,,"Ship Agents, Ship Spare Parts"
SINGAPORT CLEANSEAS PTE LTD,Singapore,1.148,,,Environmental Technologies
SINGATAC ENGINEERING,Singapore,2.419,,,"Automation, Electrical, Electronics, Refrigeration Systems, Repair Services, Ship Spare Parts"
SINOPACIFIC SHIPBUILDING GROUP,China,4.213,,,"Shipbuilding, Repair Yards"
"SINO UNITED DOCKS CO., LTD",China,"1.317,1.115",,,"Repair Services, Shipbuilding, Repair Yards"
SINPO SOLUTIONS,China,3.424,,,Repair Services
"SIN SENG HUAT MACHINERY MANUFATURE (JIANGSU) CO., LTD",China,2.401/D,,,"Anchors, Chains, Ballast Water Management, Deck Equipment, Mooring Equipment & Ropes, Other"
"SINWA SINGAPORE PTE, LTD",Singapore,2.135,,,"Logistics, Offshore Services, Port Agencies, Services, Safety Equipment, Services, Ship Agents, Shipchandlers, Ship Spare Parts, Ship Suppliers"
SIRM ITALY,Italy,1.129,,,"Communication Aids, Electrical, Electronics, Navigation Aids, Repair Services, Satellite Communications, Services Providers"
SIRM UK,United Kingdom,1.129,,,"Communication Aids, Electrical, Electronics, Navigation Aids, Repair Services, Satellite Communications, Services Providers"
SIUI,China,3.554,,,Other
SJV MARINE ELECTRONICS,India,3.459,http://www.sreejayavinayga.com,,"Deck Equipment, Repair Services, Retrofitting, Safety Equipment, Services, Satellite Communications, Seals & Packings, Services Providers, Shipbuilding, Repair Yards, Steering Gear, Equipment"
SKF,Sweden,3.215,,,"Bearings, Monitoring Equipment"
SKF MARINE,Greece,"2.409,WS1",http://skf-marine.com,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=41386,"Bearings, Consultancy Services, Design & Innovation, Engineroom Equipment, Monitoring Equipment, Propulsion Systems, Repair Services, Seals & Packings, Separators, Services Providers, Ship Spare Parts, Stabilisers, Training Services"
SKF MARINE GMBH,Germany,2.321,,,"Seals & Packings, Separators, Stabilisers, Steering Gear, Equipment"
SKIPPER,Norway,1.305,,,"Electrical, Electronics, Navigation Aids"
SKIPPER ON DECK,Greece,1.338,http://www.skipperondeck.gr,,"Advertising, Marketing, Public Relations, Pleasure Craft, Publications, Media, Yachting, Brokers, Services"
S. KONSTANTINIDIS & CO. LTD & PHARMACY - PHARMAMEDIHELP,Greece,2.540,http://www.pharmamedihelp.gr,,"Medical Services, Ship Suppliers"
SKV GROUP (SPAIN),Spain,1.526,,,"Generating Sets, Ship Spare Parts"
SKYBRIDGE SAS,France,1.216,,,"Communication Aids, Satellite Communications"
SMALTOLIN S.A.,Greece,4.320/A,,,"Coatings, Paints, Monitoring Equipment"
SMARTBICS OU ? BORA SYSTEM,Estonia,2.554,http://www.smartbics.com,,"Computer Applications, Big Data, IT Services, Internet Services, Management Systems, Travel Services"
SMART GROUP,Italy,2.217,,,"Coatings, Paints"
SMC,Japan,3.425,,,Automation
SMECO CO LTD,"Korea, Republic of",3.263,http://www.smecopiston.webs.com,,"Engineroom Equipment, Other, Ship Spare Parts"
SMIT (BOSKALIS),"Netherlands, The",4.105,http://www.smit.com ,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=3232,"Environmental Technologies, Firefighting Equipment, Maritime Training Programmes, Pollution Control, Safety Equipment, Services, Towage, Salvage"
SMIT LAMNALCO,Australia,3.426,,,"Towage, Salvage"
SMIT SALVAGE HELLENIC OFFICE,Greece,4.105,,,"Environmental Technologies, Firefighting Equipment, Maritime Training Programmes, Pollution Control, Safety Equipment, Services, Towage, Salvage"
SNAME,USA,2.425/11,http://www.sname.org,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=49062,"Advertising, Marketing, Public Relations, Associations, Organisations, Computer Applications, Big Data, IT Services, Consultancy Services, Insurance, P&I, Maritime Education, Other, Publications, Media, Training Services"
SNRI / MALBRANQUE,France,3.315,http://www.valcogroup.fr      ,,"Cargo Handling, Cargo Systems, Cryogenic Equipment, Deck Equipment, Pipes, Fittings, Pumps, Valves"
SOCIETY OF MARITIME INDUSTRIES,United Kingdom,"1.221,1.221",http://www.maritimeindustries.org,,"Associations, Organisations"
SOCIUS LTD.,Croatia,1.138,http://www.socius.hr,,Consultancy Services
S?FARTSSTYRELSEN / DANISH MARITIME AUTHORITY,Denmark,3.411/B,,,
SOFTONE,Greece,3.413,,,"Computer Applications, Big Data, IT Services"
SOFTWEB,Greece,3.413,,,"Computer Applications, Big Data, IT Services"
SOJITZ ASIA PTE LTD,Singapore,4.202/P,,,Shipbrokers
SOJITZ EUROPE PLC (HAMBURG),Germany,4.202/P,,,Other
SOJITZ (HONG KONG) LTD,Hong Kong SAR,4.202/P,,,Shipbrokers
SOJITZ MARINE & ENGINEERING CORPORATION,Japan,4.202/P,http://www.somec.co.jp,,"Shipbrokers, Shipmanagement, Shipping Companies"
SOLA CURE,United Kingdom,2.417,,,Other
SOLAS MARINE SERVICES GROUP,United Arab Emirates,1.445,http://www.solasmarine.com,,"Firefighting Equipment, Mooring Equipment & Ropes, Navigation Aids, Pipes, Fittings, Safety Equipment, Services, Services Providers"
SOLDECOM,Greece,1.530,,,"Computer Applications, Big Data, IT Services"
SOMEC (LONDON),United Kingdom,4.202/P,,,Shipbrokers
SOMEC (OSAKA),Japan,4.202/P,,,Other
SOMEC (SHANGHAI),China,4.202/P,,,Other
SONDEX A/S,Denmark,2.316,,,"Pumps, Valves"
SONDEX KOREA,"Korea, Republic of",3.132,,,Other
SORMEC MARINE CRANES,Italy,4.134,,,Deck Equipment
SORMEC SRL,Italy,4.134,,,Deck Equipment
SOUTHERN CROSS MARINE SUPPLIES PTY LTD,Australia,4.232,,,"Services Providers, Shipchandlers, Ship Suppliers"
SOUTHERN EVERISE (SINGAPORE) PTE LTD,Singapore,4.232,http://www.scms.com.au,,"Services Providers, Shipchandlers, Ship Spare Parts, Ship Suppliers"
SOUTHERN STAR MARINE SUPPLIES CO LTD,China,4.232,,,"Services Providers, Shipchandlers, Ship Suppliers"
SPACE ELECTRONICS LTD,Greece,1.205,,,"Electrical, Electronics, Satellite Communications"
SPANMARIN,Greece,2.521,http://www.spanmarin.gr,,"Ballast Water Management, Cargo Handling, Monitoring Equipment, Pollution Control, Separators, Sewage Treatment"
SPANOPOULOS GROUP,Greece,2.103,http://www.spanopoulos-group.com,,"Dredging Equipment, Offshore Services, Other, Port Agencies, Services, Repair Services, Retrofitting, Ship Agents, Shipbuilding, Repair Yards, Shipmanagement, Shipping Companies, Towage, Salvage"
SPECRO AB,Sweden,4.230,,,"Pollution Control, Tank Cleaning Systems"
SPECTEC,Cyprus,1.118,http://www.spectec.net,,"Management Systems, Monitoring Equipment"
SPECTRUM,Greece,1.139,http://www.spectrum-ndt.gr,,"Air Emissions Control, Consultancy Services, Fuel Analysis Services, Other, Pollution Control, Services Providers"
SPECTRUMLABS,Greece,1.139,,,"Air Emissions Control, Consultancy Services, Fuel Analysis Services, Other, Pollution Control, Services Providers"
SPECTRUMNDT,Greece,1.139,,,"Consultancy Services, Other, Services Providers"
SPEED AIR SA,Greece,1.350,http://www.speedair.gr,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=41407,"Cargo Systems, Container Services, Launch Services, Logistics, Port Agencies, Services, Ship Agents"
SPEEDCAST,Greece,1.113,http://www.speedcast.com,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=62101,"Computer Applications, Big Data, IT Services, Cyber Protection Systems, Entertainment Systems, Government Organisations / Institutions, Internet Services, Navigation Aids, Satellite Communications, Services Providers"
SPERRE INDUSTRI AS,Norway,3.105,http://www.sperre.com,,Engineroom Equipment
SPERRY MARINE,"Netherlands, The",1.113,,,"Electrical, Electronics, Services Providers"
SPHEREMD,USA,2.425/4,http://spheremd.com,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=62824,Medical Services
SPINDLE GIKEN (S) PTE LTD,Singapore,4.222,,,Repair Services
SPIRIT WORLD GROUP,Greece,2.353,http://www.spiritworld.gr,,"Bunkers, Lubricants, Cargo Handling, Cargo Systems, Chemicals, Classification Societies, Consultancy Services, Container Services, Deck Equipment, Finance, Banking Services, Logistics, Petroleum Products, Repair Services, Ship Agents, Shipbrokers, Shipchandlers, Shipmanagement, Shipping Companies, Ship Spare Parts, Ship Suppliers, Vessel Registration, Yachting, Brokers, Services"
SPIROFLEX,Germany,3.355,,,"Propulsion Systems, Steering Gear, Equipment"
"SPREFIX, OVACON AB",Sweden,3.164/2,,,Other
SPX FLOW TECHNOLOGY,Denmark,3.121,http://www.spxft.com,,Engineroom Equipment
SQLEARN,Greece,3.131/10,http://www.sqlearn.com,,Maritime Training Programmes
SRH MARINE ELECTRONICS SA,Greece,1.113,http://www.srhmar.com,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=45365,"Electrical, Electronics, Navigation Aids, Safety Equipment, Services, Satellite Communications, Services Providers, Ship Spare Parts, Ship Suppliers"
"S&S VALVE CO, LTD","Korea, Republic of",3.161,http://www.snsvalve.co.kr,,"Pumps, Valves"
"S&SYS CO, LTD (SAMSUNG HEAVY INDUSTRIES)","Korea, Republic of",3.529,http://www.shipcs.com,,"Automation, Ballast Water Management, Electrical, Electronics"
STANDARD HORIZON,Japan,1.305,,,Communication Aids
STARGATE CREWING,Romania,2.249,http://www.stargate-agency.ro,,Crewing Services
STEF LAGOGIANNIS ELECTRICAL SWITCHBOARDS,Greece,1.439,,,"Automation, Electrical, Electronics"
STOCZNIA REMONTOWA 'NAUTA' SA (NAUTA SHIP YARD),Poland,1.337/B,http://www.nauta.pl,,"Shipbuilding, Repair Yards"
STONE MARINE GROUP,United Kingdom,1.540,http://www.stonemarine.co.uk,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=55708,"Deck Equipment, In/Under-Water Repairs & Services, Propellers, Propulsion Systems, Repair Services, Seals & Packings"
STOP AEBE,Greece,2.215,http://www.stop.gr,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=3224,"Firefighting Equipment, Monitoring Equipment, Safety Equipment, Services, Ship Suppliers"
STORMGEO,Norway,3.160,http://www.stormgeo.com,,"Logistics, Navigation Aids"
STRAUB WERKE AG,Switzerland,3.116,,,"Pipes, Fittings"
STRIGOS SERVICE - ERGALIA.GR,Greece,3.259,http://www.ergalia.gr,,"Engineroom Equipment, Other, Repair Services, Shipbuilding, Repair Yards, Ship Suppliers"
STROMAG,Germany,3.355,,,"Propulsion Systems, Steering Gear, Equipment"
"STX OFFSHORE & SHIPBUILDING CO., LTD","Korea, Republic of",4.213,,,"Shipbuilding, Repair Yards"
SUBIC SHIPYARD AND ENGINEERING INC.,Philippines,4.309,,,"Shipbuilding, Repair Yards"
SUBSEA GLOBAL SOLUTIONS,USA,4.125,,,"In/Under-Water Repairs & Services, Other, Repair Services"
SUBSEA INDUSTRIES NV,Belgium,2.102,http://www.subind.net ,,"Coatings, Paints, Corrosion Protection, Environmental Technologies"
SUHZOU JIUMEI FIBERGLASS,China,3.111,,,"Pipes, Fittings"
SUMITOMO CORPORATION,Japan,4.202/Q,http://www.sumitomocorp.co.jp/english/,,Other
"SUMITOMO HEAVY INDUSTRIES MARINE & ENGINEERING CO, LTD",Japan,4.202/J,http://www.shi.co.jp,,"Other, Shipbuilding, Repair Yards"
"SUNRUI MARINE ENVIRONMENT ENGINEERING CO, LTD",China,3.307,,,Ballast Water Management
SUNTEC INDUSTRIES,France,1.340,,,"Pumps, Valves, Ship Spare Parts"
SUPERMAR MACHINERY ASIA LIMITED,China,4.324/C,http://www.supermar.cn,,"Deck Equipment, Pumps, Valves, Ship Spare Parts, Steering Gear, Equipment"
SUPERNOVA CONSULTING LTD,Cyprus,2.111/C,,,Consultancy Services
SUPPLY CHAIN & LOGISTICS MAGAZINE,Greece,2.461,http://www.omind.gr/?lang=en,,"Advertising, Marketing, Public Relations, Other, Publications, Media"
SURVITEC,United Kingdom,"3.153,2.471",http://www.survitecgroup.com,,"Launch Services, Safety Equipment, Services"
SWAT SHIPPING AND TRADING SA,Panama,2.114,,,Ship Agents
SWEP,Sweden,3.144,,,"Airconditioning, Ventilation, Firefighting Equipment"
SWIFT MARINE BV,"Netherlands, The",2.513,http://swiftmarine.eu,,"Cargo Handling, Logistics"
SWISS OCEAN YACHT MANAGEMENT,Cyprus,2.111/G,,,"Yachting, Brokers, Services"
SYNDESEAS INTEGRATED SOLUTIONS LTD,Cyprus,2.468,,,"Air Emissions Control, Computer Applications, Big Data, IT Services, Consultancy Services, Energy Efficiency, Environmental Technologies, Other"
SZCZECIN SHIPYARD,Poland,"1.337/E,1.337/C",http://stocznia-szczecinska.pl/,,"Shipbuilding, Repair Yards"
"TADOTSU SHIPYARD CO., LTD.",Japan,4.202/A,,,"Shipbuilding, Repair Yards"
TAE IL BLOWER,"Korea, Republic of",3.132,,,Other
"TAIKO KIKAI INDUSTRIES CO, LTD",Japan,2.226,,,Filtration
TAIRIS AEVE,Greece,3.144,http://www.tairis.gr,,"Airconditioning, Ventilation, Gases, Refrigerants, Refrigeration Systems, Ship Spare Parts"
"TAIYO ELECTRIC CO., LTD.",Japan,"4.109,4.108",,,"Electrical, Electronics, Engineroom Equipment"
TALIS BENELUX BV(UNIJOINT),"Netherlands, The",1.519,,,"Pipes, Fittings"
TALLERES INDUSTRIALES SA,Panama,"2.114,4.309,1.129",http://talleresindustriales.com ,,"Deck Equipment, Engineroom Equipment, Firefighting Equipment, In/Under-Water Repairs & Services, Other, Pipes, Fittings, Pumps, Valves, Repair Services, Retrofitting, Safety Equipment, Services, Services Providers, Shipbuilding, Repair Yards, Ship Spare Parts"
TALLERES NAVALES DEL GOLFO,Mexico,"1.317,3.424",,,"Repair Services, Shipbuilding, Repair Yards"
TALLINN SHIPYARD,Estonia,1.102,,,"Ballast Water Management, Shipbuilding, Repair Yards"
TAMROTOR MARINE COMPRESSORS AS,Norway,3.105,http://www.tmc.no,,"Deck Equipment, Engineroom Equipment, Environmental Technologies"
"TANABE COMPRESSOR CO, LTD",Japan,3.531,,,Compressor Suppliers
TANDANOR S.A.C.I.,Argentina,"1.317,4.309",,,"Repair Services, Shipbuilding, Repair Yards"
TANKER OPERATOR,United Kingdom,2.000,,,"Publications, Media"
TCB AVGIDIS AUTOMATION SA,Greece,3.261,http://www.tcb.gr,,"Automation, Electrical, Electronics, Energy Efficiency, Fuel Analysis Services, LNG Technology, Monitoring Equipment"
TEAMTEC AS,Norway,3.105,http://www.teamtec.no,,"Ballast Water Management, Engineroom Equipment, Environmental Technologies"
TECHCROSS INC,"Korea, Republic of",2.321,http://www.techcross.com,,Ballast Water Management
TECHMARINE S/W,"Korea, Republic of",3.403/2,http://www.techmarine.net/,,Cargo Systems
